,GenomicPosition,P1AncestryProportion,P2AncestryProportion,P3AncestryProportion,P4AncestryProportion,P5AncestryProportion,P6AncestryProportion,P7AncestryProportion,P8AncestryProportion
93,879511.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
94,881428.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
95,889458.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
96,891222.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
97,895800.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
98,917278.0,0.759,0.0155,0.0265,0.06,0.019,0.054,0.0435,0.0225
99,948093.0,0.759,0.0155,0.0265,0.06,0.019,0.054,0.0435,0.0225
100,948888.0,0.759,0.0155,0.0265,0.06,0.019,0.054,0.0435,0.0225
101,956872.0,0.7595,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0225
102,981190.0,0.7595,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0225
103,989750.0,0.7545,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0275
104,995756.0,0.7545,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0275
105,996002.0,0.7545,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0275
106,997454.0,0.7545,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0275
107,1025679.0,0.7545,0.0155,0.0265,0.06,0.019,0.0535,0.0435,0.0275
108,1027095.0,0.7545,0.0155,0.0265,0.06,0.0155,0.0535,0.0435,0.031
109,1041621.0,0.7545,0.0155,0.0265,0.06,0.0155,0.0535,0.0435,0.031
110,1045159.0,0.7565,0.0155,0.0245,0.06,0.0155,0.0535,0.0435,0.031
111,1066242.0,0.7565,0.0155,0.0245,0.06,0.0155,0.0535,0.0435,0.031
112,1081157.0,0.7565,0.0155,0.0245,0.06,0.0155,0.0535,0.0435,0.031
113,1081687.0,0.756,0.0155,0.0245,0.06,0.016,0.0535,0.0435,0.031
114,1093316.0,0.756,0.0155,0.0245,0.06,0.016,0.056,0.0435,0.0285
115,1098503.0,0.743,0.0155,0.0245,0.073,0.016,0.056,0.0435,0.0285
116,1111117.0,0.7345,0.0155,0.0245,0.073,0.0245,0.056,0.0435,0.0285
117,1119835.0,0.7345,0.0155,0.0245,0.073,0.0245,0.056,0.0435,0.0285
118,1123071.0,0.734,0.0155,0.0245,0.073,0.025,0.056,0.0435,0.0285
119,1124940.0,0.7345,0.0155,0.0245,0.073,0.025,0.0555,0.0435,0.0285
120,1128006.0,0.733,0.0155,0.0245,0.073,0.025,0.0555,0.0435,0.03
121,1149014.0,0.733,0.0155,0.0245,0.073,0.025,0.0555,0.0435,0.03
122,1166483.0,0.7355,0.013,0.0245,0.073,0.025,0.0555,0.0435,0.03
123,1170489.0,0.7355,0.013,0.0245,0.073,0.025,0.0555,0.0435,0.03
124,1173497.0,0.7355,0.013,0.021,0.0765,0.025,0.0555,0.0435,0.03
125,1190347.0,0.7305,0.013,0.021,0.0765,0.025,0.0555,0.0485,0.03
126,1200801.0,0.7305,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.03
127,1209492.0,0.7305,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.03
128,1216675.0,0.7305,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.03
129,1217813.0,0.731,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.0295
130,1237090.0,0.731,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.0295
131,1247652.0,0.7315,0.014,0.021,0.076,0.025,0.0545,0.0485,0.0295
132,1261194.0,0.7315,0.014,0.021,0.076,0.025,0.0545,0.0485,0.0295
133,1271367.0,0.731,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.0295
134,1280209.0,0.725,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.0355
135,1281649.0,0.725,0.014,0.021,0.0765,0.025,0.0545,0.0485,0.0355
136,1282692.0,0.7295,0.014,0.021,0.0765,0.025,0.05,0.0485,0.0355
137,1284105.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
138,1288370.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
139,1295050.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
140,1309430.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
141,1314524.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
142,1316022.0,0.7295,0.014,0.021,0.0755,0.025,0.05,0.0495,0.0355
143,1316916.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
144,1319820.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
145,1320430.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
146,1364634.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
147,1365241.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
148,1366438.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
149,1379070.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
150,1386888.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
151,1395480.0,0.7245,0.014,0.021,0.076,0.025,0.05,0.054,0.0355
152,1403317.0,0.725,0.014,0.021,0.0755,0.025,0.05,0.054,0.0355
153,1403732.0,0.725,0.014,0.021,0.0755,0.025,0.0505,0.0535,0.0355
154,1414515.0,0.7275,0.014,0.021,0.0755,0.025,0.048,0.0535,0.0355
155,1416296.0,0.7275,0.014,0.021,0.0755,0.025,0.048,0.0535,0.0355
156,1421562.0,0.727,0.014,0.021,0.0755,0.025,0.048,0.054,0.0355
157,1434879.0,0.7305,0.014,0.021,0.072,0.025,0.048,0.054,0.0355
158,1454767.0,0.723,0.014,0.021,0.072,0.025,0.0555,0.054,0.0355
159,1456606.0,0.7255,0.014,0.021,0.0695,0.025,0.0555,0.054,0.0355
160,1457559.0,0.726,0.014,0.0205,0.0695,0.025,0.0555,0.054,0.0355
161,1464351.0,0.726,0.014,0.0205,0.0695,0.025,0.0555,0.054,0.0355
162,1471934.0,0.726,0.014,0.018,0.0695,0.025,0.0555,0.054,0.038
163,1475550.0,0.726,0.014,0.018,0.0695,0.025,0.0555,0.054,0.038
164,1489749.0,0.7265,0.014,0.018,0.069,0.025,0.0555,0.054,0.038
165,1516678.0,0.7265,0.014,0.018,0.069,0.025,0.0555,0.054,0.038
166,1523380.0,0.726,0.014,0.018,0.069,0.025,0.0555,0.054,0.0385
167,1528964.0,0.726,0.014,0.018,0.069,0.025,0.0555,0.054,0.0385
168,1538556.0,0.726,0.014,0.018,0.069,0.025,0.0555,0.054,0.0385
169,1586132.0,0.726,0.014,0.018,0.069,0.025,0.0555,0.054,0.0385
170,1598882.0,0.726,0.014,0.018,0.069,0.025,0.0555,0.054,0.0385
171,1602117.0,0.726,0.014,0.023,0.069,0.025,0.0555,0.049,0.0385
172,1609464.0,0.7245,0.014,0.023,0.069,0.025,0.057,0.049,0.0385
173,1613148.0,0.7245,0.014,0.023,0.069,0.025,0.057,0.049,0.0385
174,1624034.0,0.7215,0.014,0.023,0.069,0.025,0.057,0.049,0.0415
175,1649646.0,0.7215,0.014,0.023,0.069,0.025,0.057,0.049,0.0415
176,1650094.0,0.7215,0.014,0.023,0.069,0.025,0.057,0.049,0.0415
177,1653442.0,0.7215,0.014,0.023,0.069,0.025,0.057,0.049,0.0415
178,1686302.0,0.7205,0.014,0.023,0.07,0.025,0.057,0.049,0.0415
179,1696425.0,0.7205,0.014,0.023,0.07,0.025,0.057,0.049,0.0415
180,1699179.0,0.72,0.014,0.023,0.07,0.025,0.057,0.0495,0.0415
181,1699717.0,0.7205,0.014,0.023,0.07,0.025,0.0565,0.0495,0.0415
182,1719101.0,0.721,0.014,0.0225,0.07,0.025,0.0565,0.0495,0.0415
183,1745105.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
184,1750227.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
185,1755201.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
186,1768188.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
187,1773468.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
188,1775272.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
189,1786579.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
190,1789380.0,0.7165,0.014,0.027,0.07,0.025,0.0565,0.0495,0.0415
191,1799005.0,0.7165,0.014,0.027,0.07,0.0295,0.0565,0.0495,0.037
192,1806395.0,0.716,0.014,0.027,0.07,0.0295,0.057,0.0495,0.037
193,1807492.0,0.716,0.014,0.027,0.07,0.0295,0.057,0.0495,0.037
194,1823808.0,0.716,0.014,0.027,0.07,0.0295,0.057,0.0495,0.037
195,1848359.0,0.716,0.014,0.027,0.07,0.0295,0.057,0.0495,0.037
196,1851663.0,0.715,0.014,0.027,0.071,0.0295,0.057,0.0495,0.037
197,1852864.0,0.715,0.014,0.027,0.071,0.0295,0.057,0.0495,0.037
198,1854163.0,0.715,0.014,0.027,0.071,0.0295,0.057,0.0495,0.037
199,1864210.0,0.7175,0.014,0.027,0.071,0.0295,0.0545,0.0495,0.037
200,1878749.0,0.7175,0.014,0.027,0.071,0.0295,0.0545,0.0495,0.037
201,1910731.0,0.718,0.014,0.027,0.071,0.0295,0.054,0.0495,0.037
202,1917604.0,0.718,0.014,0.027,0.071,0.0295,0.054,0.0495,0.037
203,1919555.0,0.719,0.014,0.027,0.071,0.0295,0.053,0.0495,0.037
204,1927452.0,0.719,0.014,0.027,0.071,0.0295,0.053,0.0495,0.037
205,1931313.0,0.719,0.014,0.027,0.071,0.0295,0.053,0.0495,0.037
206,1938337.0,0.719,0.014,0.027,0.071,0.0295,0.053,0.0495,0.037
207,1940190.0,0.719,0.014,0.027,0.071,0.0295,0.053,0.0495,0.037
208,1971955.0,0.7185,0.014,0.027,0.0715,0.0295,0.053,0.0495,0.037
209,1972209.0,0.72,0.014,0.027,0.0715,0.0295,0.0515,0.0495,0.037
210,1974404.0,0.72,0.014,0.034,0.0715,0.0295,0.0515,0.0425,0.037
211,1980720.0,0.721,0.014,0.034,0.0715,0.0295,0.0505,0.0425,0.037
212,2000953.0,0.721,0.014,0.034,0.0715,0.0295,0.0505,0.0425,0.037
213,2014922.0,0.7205,0.0145,0.034,0.0715,0.0295,0.0505,0.0425,0.037
214,2045010.0,0.7205,0.0145,0.034,0.0715,0.0295,0.0505,0.0425,0.037
215,2054283.0,0.721,0.0145,0.034,0.0715,0.029,0.0505,0.0425,0.037
216,2055714.0,0.719,0.0145,0.034,0.0715,0.029,0.0505,0.0445,0.037
217,2073547.0,0.719,0.0145,0.034,0.0715,0.029,0.0505,0.0445,0.037
218,2080234.0,0.7185,0.0145,0.034,0.0715,0.029,0.0505,0.0445,0.0375
219,2083181.0,0.7185,0.0145,0.034,0.0715,0.029,0.0505,0.0445,0.0375
220,2084410.0,0.7185,0.0145,0.034,0.0715,0.029,0.0505,0.0445,0.0375
221,2098440.0,0.713,0.0145,0.034,0.0715,0.029,0.0505,0.05,0.0375
222,2099767.0,0.7125,0.0145,0.034,0.0715,0.029,0.0505,0.0505,0.0375
223,2114534.0,0.713,0.0145,0.034,0.0715,0.029,0.0505,0.05,0.0375
224,2130785.0,0.713,0.0145,0.034,0.0715,0.029,0.0505,0.05,0.0375
225,2134634.0,0.712,0.0145,0.035,0.0715,0.029,0.0505,0.05,0.0375
226,2142655.0,0.712,0.0145,0.035,0.0715,0.029,0.0505,0.05,0.0375
227,2151162.0,0.711,0.0145,0.036,0.0715,0.029,0.0505,0.05,0.0375
228,2163580.0,0.711,0.0145,0.036,0.0715,0.029,0.0505,0.05,0.0375
229,2169104.0,0.711,0.0145,0.036,0.0715,0.029,0.0505,0.05,0.0375
230,2175586.0,0.7115,0.0145,0.036,0.071,0.029,0.0505,0.05,0.0375
231,2197948.0,0.709,0.0145,0.036,0.071,0.029,0.0505,0.0525,0.0375
232,2205051.0,0.7085,0.0145,0.036,0.071,0.029,0.0505,0.0525,0.038
233,2207658.0,0.714,0.0145,0.036,0.0655,0.029,0.0505,0.0525,0.038
234,2240839.0,0.714,0.0145,0.036,0.0655,0.029,0.0505,0.0525,0.038
235,2241311.0,0.714,0.0145,0.036,0.0655,0.029,0.0505,0.0525,0.038
236,2245069.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
237,2250006.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
238,2260955.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
239,2295656.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
240,2305493.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
241,2312754.0,0.7135,0.0145,0.036,0.0655,0.029,0.051,0.0525,0.038
242,2316267.0,0.713,0.0145,0.036,0.0655,0.029,0.0515,0.0525,0.038
243,2319546.0,0.713,0.0145,0.036,0.0655,0.029,0.0515,0.0525,0.038
244,2341294.0,0.713,0.0145,0.036,0.0655,0.029,0.0515,0.0525,0.038
245,2373807.0,0.7145,0.0145,0.036,0.0655,0.029,0.05,0.0525,0.038
246,2382142.0,0.7145,0.0145,0.036,0.0655,0.029,0.05,0.0525,0.038
247,2392192.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
248,2392292.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
249,2392812.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
250,2396550.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
251,2406158.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
252,2411961.0,0.715,0.0145,0.036,0.0655,0.029,0.05,0.052,0.038
253,2428167.0,0.7145,0.0145,0.036,0.0655,0.029,0.0505,0.052,0.038
254,2441147.0,0.7145,0.0145,0.036,0.0655,0.029,0.0505,0.052,0.038
255,2445562.0,0.7145,0.0145,0.036,0.0655,0.029,0.0505,0.052,0.038
256,2452678.0,0.7145,0.0145,0.036,0.0655,0.0285,0.0505,0.0525,0.038
257,2458807.0,0.7145,0.0145,0.036,0.0655,0.0285,0.0505,0.0525,0.038
258,2459397.0,0.705,0.0145,0.036,0.075,0.0285,0.0505,0.0525,0.038
259,2465713.0,0.7075,0.0145,0.036,0.075,0.0285,0.0505,0.05,0.038
260,2473460.0,0.7055,0.0145,0.036,0.075,0.0305,0.0505,0.05,0.038
261,2478340.0,0.7055,0.0145,0.036,0.075,0.0305,0.0505,0.05,0.038
262,2485682.0,0.7055,0.019,0.036,0.0705,0.0305,0.0505,0.05,0.038
263,2495967.0,0.7055,0.019,0.036,0.0705,0.0305,0.0505,0.05,0.038
264,2504411.0,0.7055,0.019,0.036,0.0705,0.0305,0.0505,0.05,0.038
265,2513260.0,0.7055,0.019,0.036,0.0705,0.0305,0.0505,0.05,0.038
266,2520019.0,0.705,0.019,0.036,0.0705,0.0305,0.0505,0.0505,0.038
267,2529195.0,0.7055,0.019,0.036,0.07,0.0305,0.0505,0.0505,0.038
268,2532065.0,0.705,0.019,0.036,0.07,0.0305,0.0505,0.051,0.038
269,2533774.0,0.71,0.019,0.036,0.065,0.0305,0.0505,0.051,0.038
270,2550088.0,0.71,0.019,0.036,0.065,0.0305,0.0505,0.051,0.038
271,2554724.0,0.71,0.019,0.036,0.065,0.0305,0.0505,0.051,0.038
272,2578760.0,0.7095,0.019,0.036,0.0655,0.0305,0.0505,0.051,0.038
273,2616342.0,0.709,0.019,0.036,0.066,0.0305,0.0505,0.051,0.038
274,2636256.0,0.7095,0.019,0.0355,0.066,0.0305,0.0505,0.051,0.038
275,2640840.0,0.7085,0.019,0.0355,0.066,0.0315,0.0505,0.051,0.038
276,2644485.0,0.709,0.019,0.0355,0.066,0.0315,0.05,0.051,0.038
277,2656477.0,0.7105,0.019,0.0355,0.066,0.0315,0.0485,0.051,0.038
278,2668034.0,0.7105,0.019,0.0355,0.066,0.0315,0.0485,0.051,0.038
279,2676035.0,0.705,0.019,0.041,0.066,0.0315,0.0485,0.051,0.038
280,2676952.0,0.705,0.019,0.041,0.066,0.0315,0.0485,0.051,0.038
281,2709127.0,0.7015,0.019,0.0445,0.066,0.0315,0.0485,0.051,0.038
282,2713857.0,0.7055,0.019,0.0405,0.066,0.0315,0.0485,0.051,0.038
283,2716693.0,0.709,0.019,0.0405,0.066,0.028,0.0485,0.051,0.038
284,2723762.0,0.7085,0.019,0.0405,0.066,0.028,0.049,0.051,0.038
285,2736991.0,0.708,0.019,0.0405,0.066,0.028,0.0495,0.051,0.038
286,2753071.0,0.708,0.019,0.0405,0.066,0.028,0.0495,0.051,0.038
287,2762267.0,0.708,0.019,0.0405,0.066,0.028,0.0495,0.051,0.038
288,2763226.0,0.708,0.019,0.0405,0.066,0.028,0.0495,0.051,0.038
289,2771488.0,0.7085,0.0185,0.0405,0.066,0.028,0.0495,0.051,0.038
290,2797953.0,0.709,0.0185,0.04,0.066,0.028,0.0495,0.051,0.038
291,2803450.0,0.7095,0.0185,0.04,0.066,0.028,0.049,0.051,0.038
292,2803577.0,0.7085,0.0185,0.04,0.066,0.028,0.05,0.051,0.038
293,2811931.0,0.7095,0.0185,0.04,0.066,0.028,0.05,0.05,0.038
294,2813064.0,0.7095,0.0185,0.04,0.066,0.028,0.05,0.05,0.038
295,2813091.0,0.7095,0.0195,0.04,0.066,0.028,0.05,0.05,0.037
296,2820050.0,0.7095,0.0195,0.04,0.066,0.028,0.05,0.05,0.037
297,2838177.0,0.7095,0.0195,0.04,0.066,0.028,0.05,0.05,0.037
298,2840781.0,0.7105,0.0195,0.04,0.066,0.028,0.05,0.049,0.037
299,2849643.0,0.712,0.018,0.04,0.066,0.028,0.05,0.049,0.037
300,2852601.0,0.7115,0.018,0.04,0.066,0.028,0.05,0.0495,0.037
301,2864749.0,0.7115,0.018,0.04,0.066,0.028,0.05,0.0495,0.037
302,2875374.0,0.711,0.018,0.04,0.066,0.028,0.05,0.0495,0.0375
303,2878649.0,0.711,0.018,0.04,0.066,0.028,0.05,0.0495,0.0375
304,2897221.0,0.711,0.018,0.04,0.066,0.028,0.05,0.0495,0.0375
305,2917224.0,0.711,0.018,0.04,0.066,0.028,0.05,0.0495,0.0375
306,2923945.0,0.711,0.018,0.04,0.066,0.028,0.05,0.0495,0.0375
307,2928093.0,0.7115,0.018,0.0395,0.066,0.028,0.05,0.0495,0.0375
308,2933222.0,0.714,0.018,0.0395,0.0635,0.028,0.05,0.0495,0.0375
309,2935887.0,0.714,0.018,0.0395,0.0635,0.028,0.05,0.0495,0.0375
310,2945286.0,0.714,0.018,0.0395,0.0635,0.028,0.05,0.0495,0.0375
311,2952081.0,0.715,0.018,0.0395,0.0635,0.028,0.05,0.0485,0.0375
312,2953709.0,0.7175,0.018,0.0395,0.0635,0.028,0.05,0.0485,0.035
313,2963044.0,0.7175,0.018,0.0395,0.0635,0.028,0.05,0.0485,0.035
314,2968788.0,0.7175,0.018,0.0395,0.0635,0.028,0.05,0.0485,0.035
315,2970171.0,0.7175,0.018,0.0395,0.0635,0.028,0.05,0.0485,0.035
316,2970805.0,0.7205,0.018,0.0395,0.0605,0.028,0.05,0.0485,0.035
317,2985179.0,0.7205,0.018,0.0395,0.0605,0.028,0.05,0.0485,0.035
318,2988502.0,0.7135,0.018,0.0395,0.0605,0.028,0.05,0.0485,0.042
